Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607,0.507,1.0809,3.1784,0.4517,1.0146,2.239
192608,0.5044,1.0798,3.2414,0.455,1.015,2.2241
192609,0.5048,1.0789,3.2361,0.4589,1.0172,2.2242
192610,0.5029,1.0761,3.2558,0.4621,1.0177,2.2195
192611,0.503,1.0736,3.295,0.4616,1.0152,2.2164
192612,0.5012,1.072,3.293,0.457,1.0152,2.2166
192701,0.4989,1.07,3.3499,0.4597,1.0198,2.2112
192702,0.4979,1.0736,3.417,0.4599,1.0195,2.2176
192703,0.4995,1.072,3.4562,0.4614,1.0204,2.2493
192704,0.4965,1.0748,3.4674,0.4625,1.0229,2.2641
192705,0.4943,1.0791,3.5075,0.4625,1.0244,2.2657
192706,0.4945,1.0808,3.5734,0.4619,1.0246,2.2526
192707,0.5301,1.1015,3.432,0.5187,1.0749,2.3788
192708,0.5299,1.1009,3.4156,0.5153,1.0775,2.3822
192709,0.5352,1.1035,3.3878,0.5111,1.0764,2.3754
192710,0.5348,1.0997,3.3685,0.5089,1.0759,2.3944
192711,0.537,1.1019,3.3664,0.5114,1.0733,2.3589
192712,0.5384,1.0981,3.3744,0.5108,1.074,2.3713
192801,0.5371,1.0992,3.3262,0.5096,1.0745,2.3726
192802,0.5383,1.0978,3.3354,0.5111,1.0749,2.3497
192803,0.5427,1.0964,3.3293,0.5114,1.0754,2.3411
192804,0.5451,1.0962,3.3787,0.5048,1.0752,2.385
192805,0.5501,1.0878,3.5415,0.5079,1.0716,2.4002
192806,0.548,1.0901,3.5456,0.508,1.0723,2.3827
192807,0.4024,0.9284,2.7381,0.3415,0.8825,1.7555
192808,0.403,0.9295,2.7556,0.342,0.8835,1.7579
192809,0.4016,0.9312,2.7137,0.3427,0.8818,1.759
192810,0.3987,0.9342,2.7799,0.342,0.8815,1.7591
192811,0.3977,0.9333,2.7653,0.342,0.8798,1.7515
192812,0.3956,0.9355,2.8173,0.3431,0.8787,1.7532
192901,0.4052,0.9366,2.8201,0.3438,0.8776,1.7439
192902,0.4037,0.9386,2.8346,0.3453,0.8735,1.7419
192903,0.4044,0.9421,2.8177,0.3455,0.8726,1.735
192904,0.4037,0.9471,2.8563,0.343,0.8719,1.7304
192905,0.4014,0.9455,2.808,0.3436,0.8702,1.7258
192906,0.3998,0.9476,2.7727,0.3464,0.8733,1.7476
192907,0.3299,0.7097,2.0998,0.2641,0.7249,1.3813
192908,0.3313,0.7065,2.1015,0.2659,0.726,1.3844
192909,0.3336,0.7077,2.1044,0.267,0.7272,1.3814
